id	has_phys_det	num_phys_boxes	yolo_conf_max	stn_pmax_max	stn_entropy_mean	p_b2_max	p_b3_max	p_b6_max	p_b7_max	p_b8_max	tem_pc1	tem_pc2	tem_pc3	hum_pc1	hum_pc2	hum_pc3	dew_pc1	dew_pc2	dew_pc3	co2_pc1	area	grow
424675_20210906_2_1_a6_3_2_12_1_12	0	0	0	0	0	0	0	0	0	0	40.45796704	7.497956883	22.47453302	-97.30271768	-70.67715174	-6.358536399	17.56320175	1.980410907	3.421933505	1227.452186	3	12
424676_20210906_2_1_a6_3_2_12_1_13	0	0	0	0	0	0	0	0	0	0	40.45796704	7.497956883	22.47453302	-97.30271768	-70.67715174	-6.358536399	17.56320175	1.980410907	3.421933505	1227.452186	3	12
424680_20210906_2_1_a6_3_2_12_1_17	0	0	0	0	0	0	0	0	0	0	40.45796704	7.497956883	22.47453302	-97.30271768	-70.67715174	-6.358536399	17.56320175	1.980410907	3.421933505	1227.452186	3	12
424681_20210906_2_1_a6_3_2_12_1_18	0	0	0	0	0	0	0	0	0	0	40.45796704	7.497956883	22.47453302	-97.30271768	-70.67715174	-6.358536399	17.56320175	1.980410907	3.421933505	1227.452186	3	12
424682_20210906_2_1_a6_3_2_12_1_19	0	0	0	0	0	0	0	0	0	0	40.45796704	7.497956883	22.47453302	-97.30271768	-70.67715174	-6.358536399	17.56320175	1.980410907	3.421933505	1227.452186	3	12
424687_20210906_2_1_a6_3_2_12_1_24	0	0	0	0	0	0	0	0	0	0	40.45796704	7.497956883	22.47453302	-97.30271768	-70.67715174	-6.358536399	17.56320175	1.980410907	3.421933505	1227.452186	3	12
424692_20210906_2_1_a6_3_2_12_1_29	0	0	0	0	0	0	0	0	0	0	39.95988354	6.308455918	23.06408891	-94.48100429	-72.74276873	-8.277891293	17.52275703	2.229856992	3.347689792	1227.758433	3	12
424696_20210906_2_1_a6_3_2_12_1_33	0	0	0	0	0	0	0	0	0	0	39.95988354	6.308455918	23.06408891	-94.48100429	-72.74276873	-8.277891293	17.52275703	2.229856992	3.347689792	1227.758433	3	12
424701_20210906_2_1_a6_3_2_12_1_38	0	0	0	0	0	0	0	0	0	0	39.95988354	6.308455918	23.06408891	-94.48100429	-72.74276873	-8.277891293	17.52275703	2.229856992	3.347689792	1227.758433	3	12
424713_20210906_2_1_a6_3_2_12_1_50	0	0	0	0	0	0	0	0	0	0	39.48142257	5.099042549	23.59736546	-91.58247254	-74.77861935	-10.00747166	17.49046732	2.497865678	3.259691197	1228.060666	3	12
424715_20210906_2_1_a6_3_2_12_1_52	0	0	0	0	0	0	0	0	0	0	39.48142257	5.099042549	23.59736546	-91.58247254	-74.77861935	-10.00747166	17.49046732	2.497865678	3.259691197	1228.060666	3	12
424717_20210906_2_1_a6_3_2_12_1_54	0	0	0	0	0	0	0	0	0	0	39.48142257	5.099042549	23.59736546	-91.58247254	-74.77861935	-10.00747166	17.49046732	2.497865678	3.259691197	1228.060666	3	12
424722_20210906_2_1_a6_3_2_12_1_59	0	0	0	0	0	0	0	0	0	0	39.48142257	5.099042549	23.59736546	-91.58247254	-74.77861935	-10.00747166	17.49046732	2.497865678	3.259691197	1228.060666	3	12
424726_20210906_2_1_a6_3_2_12_1_63	0	0	0	0	0	0	0	0	0	0	39.03008549	3.87138313	24.09163426	-88.69085552	-76.82374017	-11.61925251	17.45741894	2.742040867	3.158408155	1228.298891	3	12
424733_20210906_2_1_a6_3_2_12_1_70	0	0	0	0	0	0	0	0	0	0	39.03008549	3.87138313	24.09163426	-88.69085552	-76.82374017	-11.61925251	17.45741894	2.742040867	3.158408155	1228.298891	3	12
424741_20210906_2_1_a6_3_2_12_1_78	0	0	0	0	0	0	0	0	0	0	38.59677812	2.627577394	24.52256084	-85.77806659	-78.86570342	-13.08419289	17.42047433	2.948718158	3.044772594	1228.521094	3	12
424743_20210906_2_1_a6_3_2_12_1_80	0	0	0	0	0	0	0	0	0	0	38.59677812	2.627577394	24.52256084	-85.77806659	-78.86570342	-13.08419289	17.42047433	2.948718158	3.044772594	1228.521094	3	12
424754_20210906_2_1_a6_3_2_12_1_91	0	0	0	0	0	0	0	0	0	0	37.78552966	0.12215691	25.19393237	-79.80455416	-82.83103869	-15.45430314	17.36090233	3.358942235	2.79172398	1228.900824	3	12
424756_20210906_2_1_a6_3_2_12_1_93	0	0	0	0	0	0	0	0	0	0	37.78552966	0.12215691	25.19393237	-79.80455416	-82.83103869	-15.45430314	17.36090233	3.358942235	2.79172398	1228.900824	3	12
424768_20210906_2_1_a6_3_2_12_1_105	0	0	0	0	0	0	0	0	0	0	37.78552966	0.12215691	25.19393237	-79.80455416	-82.83103869	-15.45430314	17.36090233	3.358942235	2.79172398	1228.900824	3	12
424772_20210907_2_1_a6_3_2_12_1_4	0	0	0	0	0	0	0	0	0	0	45.72555667	15.02029793	0.379295126	-101.2116694	-15.6905762	61.28968192	22.60180532	-0.061497592	1.203260651	1144.239085	3	12
424779_20210907_2_1_a6_3_2_12_1_11	0	0	0	0	0	0	0	0	0	0	45.1984266	14.88826586	1.303128601	-100.7613341	-15.5851386	58.37417264	22.58652367	0.145263866	1.286259701	1144.394169	3	12
424781_20210907_2_1_a6_3_2_12_1_13	0	0	0	0	0	0	0	0	0	0	45.1984266	14.88826586	1.303128601	-100.7613341	-15.5851386	58.37417264	22.58652367	0.145263866	1.286259701	1144.394169	3	12
424786_20210907_2_1_a6_3_2_12_1_18	0	0	0	0	0	0	0	0	0	0	45.1984266	14.88826586	1.303128601	-100.7613341	-15.5851386	58.37417264	22.58652367	0.145263866	1.286259701	1144.394169	3	12
424789_20210907_2_1_a6_3_2_12_1_21	0	0	0	0	0	0	0	0	0	0	45.1984266	14.88826586	1.303128601	-100.7613341	-15.5851386	58.37417264	22.58652367	0.145263866	1.286259701	1144.394169	3	12
424797_20210907_2_1_a6_3_2_12_1_29	0	0	0	0	0	0	0	0	0	0	44.6694637	14.70070975	2.22115733	-100.2091693	-15.5633481	55.4792795	22.57000078	0.353836124	1.362936563	1144.554166	3	12
424798_20210907_2_1_a6_3_2_12_1_30	0	0	0	0	0	0	0	0	0	0	44.6694637	14.70070975	2.22115733	-100.2091693	-15.5633481	55.4792795	22.57000078	0.353836124	1.362936563	1144.554166	3	12
424801_20210907_2_1_a6_3_2_12_1_33	0	0	0	0	0	0	0	0	0	0	44.6694637	14.70070975	2.22115733	-100.2091693	-15.5633481	55.4792795	22.57000078	0.353836124	1.362936563	1144.554166	3	12
424802_20210907_2_1_a6_3_2_12_1_34	0	0	0	0	0	0	0	0	0	0	44.6694637	14.70070975	2.22115733	-100.2091693	-15.5633481	55.4792795	22.57000078	0.353836124	1.362936563	1144.554166	3	12
424803_20210907_2_1_a6_3_2_12_1_35	0	0	0	0	0	0	0	0	0	0	44.6694637	14.70070975	2.22115733	-100.2091693	-15.5633481	55.4792795	22.57000078	0.353836124	1.362936563	1144.554166	3	12
